Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
ENRG,Scrypt,PoW/PoS,123062801.128773,0.0,-0.3317249421778091,1.0310625213185536,-0.5276908562094073,0,EnergyCoin
QRK,Quark,PoW,259557164.91477,247000000.0,-0.2217770357011935,-0.50184954846087,0.04124362492002623,3,QuarkCoin
RIC,Groestl,PoW,49548585.1412917,84000000.0,-0.19662516212171274,-1.1922984251221402,0.09796352333120759,3,Riecoin
DGC,Scrypt,PoW,33442988.3440364,48166000.0,-0.1656314557681939,-1.1036488154900146,-0.02315089462668786,3,Digitalcoin 
BTB,Scrypt,PoW/PoS,42579.476901,500000.0,-0.3332250180621777,1.0310250828748342,-0.5276760475439723,0,BitBar
CAT,Scrypt,PoW,7219956.64626131,21000000.0,-0.16614468616333294,-1.1036413986391789,-0.02314881314682205,3,Catcoin
CBX,Scrypt,PoW/PoS,1039116.65144562,1000000.0,-0.3332092907823602,1.0310251015775953,-0.5276761476323143,0,CryptoBullion
CCN,Scrypt,PoW,4703879.51824446,13140000.0,-0.16623119851091014,-1.103637721068261,-0.02314882053208885,3,CannaCoin
CRYPT,X11,PoW,4996986.20575291,18000000.0,-0.22987382895784578,-0.9140544187372854,0.10423123988653463,3,CryptCoin
CSC,Scrypt,PoC,39999997299.8568,40000000000.0,0.6513975212206331,0.5141100655858597,-0.3237086399651055,0,CasinoCoin
DMD,Groestl,PoW/PoS,3304487.74735637,4380000.0,-0.36460239131922295,0.9423896342503146,-0.4065613452651215,0,Diamond
XVG,Multiple,PoW,15929530669.1206,16555000000.0,0.187808234786789,-1.8053672724612428,0.3509539401889568,3,Verge
DVC,SHA-256,PoW,18773857500.0,21000000000.0,0.2319853144568388,-1.3311322415427236,0.14801967006953265,3,DevCoin
EAC,Scrypt,PoW,12539015186.822,13500000000.0,0.08264705345554105,-1.1074662036477143,-0.024123961485875606,3,EarthCoin
EFL,Scrypt,PoW,20910478.8062499,21000000.0,-0.1659773528367257,-1.1036372636504987,-0.023150458961677178,3,E-Gulden
EMC2,Scrypt,PoW,218871896.499999,299792458.0,-0.16157998163466264,-1.103734870245297,-0.023163266457700386,3,Einsteinium
EMD,Scrypt,PoW,19496786.31025,32000000.0,-0.16591659696825797,-1.1036439008866599,-0.023149855371502506,3,Emerald
EXCL,PoS,PoS,5679705.0,0.0,-0.3596443749051272,1.5362331646368137,-0.023630846258521795,0,Exclusive Coin
FLT,Scrypt,PoS/PoW/PoT,461829905.32893,0.0,-0.2680924392379975,0.4211852719076074,-0.7037697479288065,0,FlutterCoin
FRK,Scrypt,PoW,1142732.14912776,11235813.0,-0.16628823331832696,-1.103637721607912,-0.023148467493385737,3,Franko
FTC,NeoScrypt,PoW,208669093.00773,336000000.0,-0.18100503693558373,-1.6225449098294735,0.19717805004398622,3,FeatherCoin
GDC,Scrypt,PoW,884125802.0,1420609614.0,-0.14549771064244887,-1.1041667198094711,-0.02319905550304969,3,GrandCoin
GLC,Scrypt,PoW,65672720.4708748,70000000.0,-0.16508263367907974,-1.1036514078397441,-0.023153908404092677,3,GlobalCoin
GLD,Scrypt,PoW,41658647.9999715,72245700.0,-0.16536021612953425,-1.1036599287323685,-0.023150933007019047,3,GoldCoin
HBN,Scrypt,PoW/PoS,89266933.684704,120000000.0,-0.3312867254926028,1.03098456562284,-0.527682062775142,0,HoboNickels
HYP,X11,PoS,1678520090.7713,0.0,-0.3313221741060176,1.0228807903127475,-0.13648487841587886,0,HyperStake
IFC,Scrypt,PoW,90595753018.6314,90600000000.0,1.583653921285129,-1.1274187355734087,-0.030468164212027412,3,Infinite Coin
IOC,X11,PoW/PoS,17650913.9743456,22000000.0,-0.3965379665738917,1.2206042205537107,-0.4002974127040794,0,IOCoin
IXC,SHA-256,PoW,21089348.999,21000000.0,-0.14604824356683063,-1.3249521108818558,0.14944701148048142,3,IXcoin
KGC,Scrypt,PoW,151447649.8,265420800.0,-0.16264791412236207,-1.1037358294304707,-0.023156516009089557,3,KrugerCoin
LKY,Scrypt,PoW,19326319.14375,20000000.0,-0.16600380940913953,-1.1036371775503144,-0.02315030794293347,3,LuckyCoin
LTB,Scrypt,PoW,1104344.22938102,1350000.0,-0.16635883321157285,-1.1036321519828505,-0.023148852597283654,3,Litebar 
MAX,SHA3,PoW/PoS,61445805.0,100000000.0,-0.41363971965265384,1.9070105753158675,-0.42374083053160905,0,MaxCoin
MEC,Scrypt,PoW,38151999.9930997,42000000.0,-0.165617641620657,-1.103643912083466,-0.02315170379970776,3,MegaCoin
MED,HybridScryptHash256,PoW,40431856.9,200000000.0,-0.1574646831857097,-2.0975998648878553,0.2588324127030617,3,MediterraneanCoin
MINT,Scrypt,PoS,21293925445.4969,0.0,-0.027890874548370876,0.8392193312868282,-0.26622286094747427,0,MintCoin
MINC,Scrypt,PoW,5804204.88794916,10000000.0,-0.16624002510423522,-1.1036356159883889,-0.023149076593550658,3,MinCoin
MZC,SHA-256,PoW/PoS,1613836099.99999,2419200000.0,-0.27641495726033044,0.8088320783813044,-0.35517720877456205,0,MazaCoin
NAUT,Scrypt,PoS,16180000.0,16180000.0,-0.2878447652230114,0.8327836165189724,-0.2636643053567216,0,Nautilus Coin
NAV,X13,PoW/PoS,66087096.2077108,0.0,-0.27710566049694646,1.7414646288434645,-0.5446710551970259,0,NavCoin
NOBL,Scrypt,PoW,2366066305.76482,15000000000.0,-0.03105138568532091,-1.1113856222039713,-0.022841880915237676,3,NobleCoin
NMC,SHA-256,PoW,14736400.0,21000000.0,-0.14612589291265873,-1.3249540296817301,0.14944777520429803,3,Namecoin
NYAN,Scrypt,PoW,334709223.483138,337000000.0,-0.15990019904911354,-1.1037208897660944,-0.023175725119363565,3,NyanCoin
OPAL,X13,PoW/PoS,15156364.3306548,0.0,-0.2777281647880127,1.7414492460846973,-0.5446649325266032,0,OpalCoin
ORB,NeoScrypt,PoW/PoS,3220616.279225,3770000.0,-0.3527201865220304,0.5122376802467635,-0.30733763809300535,0,Orbitcoin
POT,Scrypt,PoW/PoS,222677226.014206,420000000.0,-0.327527886872024,1.03085548934974,-0.5276862741722874,0,PotCoin
PXC,Scrypt,PoW/PoS,73959274.625,98000000.0,-0.3316298940234778,1.0309923627144613,-0.5276810898396014,0,PhoenixCoin
RDD,Scrypt,PoW/PoS,29315567169.0888,0.0,0.02508240313757813,1.0398796192862982,-0.5312002517447934,0,Reddcoin
RPC,Scrypt,PoW,1104157.42169891,21000000.0,-0.1662194369301153,-1.1036432458120091,-0.023148077932116914,3,RonPaulCoin
SBC,Scrypt,PoW,24215181.725,250000000.0,-0.16431241781349717,-1.1037655517278058,-0.023141828595873326,3,StableCoin
SMC,Scrypt,PoW,25593737.1355044,51200000.0,-0.16570587034611858,-1.10365289912354,-0.023149831417535172,3,SmartCoin
SUPER,X11,PoS,50707661.7493518,0.0,-0.35121822084972143,1.0223891373363911,-0.13628918990629263,0,SuperCoin
SYNC,X11,PoW/PoS,1177.0,1000.0,-0.39690975421530666,1.2206113096960816,-0.40029615817472614,0,SyncCoin
SYS,SHA-256,PoW,563336541.299966,888000000.0,-0.13327002821268705,-1.3252778153323082,0.14941600378041464,3,SysCoin
TES,Multiple,PoS,80260463.7331396,100000000.0,-0.24441893171621665,0.13555528964632982,0.1116963559060105,0,TeslaCoin
TGC,SHA-256,PoW,43536800.0,47011968.0,-0.14558934724937045,-1.32496001655222,0.14944533839018398,3,TigerCoin
TIT,PHI1612,PoS,1622326490.46336,2300000000.0,-0.3192396761549015,1.5827915339099519,-0.28334315167526625,0,TittieCoin
TOR,X11,PoW/PoS,1431851.00002479,10000000.0,-0.39682133405491826,1.2206060966854553,-0.4002959359833272,0,TorCoin
